CURRUCUCU SUCURSAL EL REFUGIO. 137DS8GA3HCR,,,,,,,
Ventas de Productos,,,,,,,
"Lista de Productos en las ventas de entre 0:00 AM, sábado 12 de julio de 2025 y 0:00 AM, lunes 13 de julio de 2026",,,,,,,
"Fecha de exportación: 2:53 PM, miércoles 15 de julio de 2026",,,,,,,
#,ID Alfanumérico,Código (SKU),Nombre,Categoría,Subcategoría,Cantidad, Importe 
1,7FwSjyxeaJCqHqPhIOHo,-,Paquete Currucucu,PAQUETES ,-,4671," $700,650.00 "
2,AVOjCcO3JR7Pfm63GVxC,-,DSV COMIDA,PAQUETES ,-,6654," $926,236.80 "
3,1619020699155-CON 1 GUISO,-,Quesadillas CON 1 GUISO,DE NUESTRO COMAL,-,1746," $88,122.50 "
4,1619020699155,-,Quesadillas CON 1 GUISO,DE NUESTRO COMAL,-,1506," $78,689.50 "
5,1619020699148,-,Chilaquiles DE POLLO,MENU ,-,398," $49,798.00 "
6,1619020699158,-,Agua Del Dia,Bebidas ,-,313," $12,842.00 "
7,1619020699159,-,JUGO DE NARANJA,Bebidas ,-,381," $19,050.00 "
8,1619020699151-CON 1 GUISO,-,Gorditas CON 1 GUISO,DE NUESTRO COMAL,-,1181," $60,775.00 "
9,1619020699151,-,Gorditas CON 1 GUISO,DE NUESTRO COMAL,-,966," $50,095.50 "
10,1619020699156,-,Huaraches ESPECIAL,DE NUESTRO COMAL,-,138," $18,234.50 "
11,1619020699140,-,Huevos A LA MEXICANA,MENU ,-,89," $11,110.25 "
12,1619020699146,-,Enchiladas SUIZAS DE POLLO,MENU ,-,177," $29,665.00 "
13,qsBr39LxFbNkid7B3EC0,-,Flautas DE PAPA,MENU ,-,280," $34,894.50 "
14,1619020699152,-,Sopes CON 1 GUISO,DE NUESTRO COMAL,-,379," $24,183.00 "
15,1619020699153,-,Tacos CON 1 GUISO,DE NUESTRO COMAL,-,606," $22,846.00 "
16,cDOu9zXVilEPeqZqBpPe-CAFE DE OLLA,-,Cafe CAFE DE OLLA,Bebidas ,-,119," $4,970.00 "
17,1619020699148-DE POLLO,-,Chilaquiles DE POLLO,MENU ,-,238," $32,905.00 "
18,cDOu9zXVilEPeqZqBpPe,-,Cafe CAFE DE OLLA,Bebidas ,-,114," $4,868.00 "
19,SwP7Q2haoxpylRPzmSJ1,-,Enfrijoladas CON POLLO,MENU ,-,118," $17,594.00 "
20,1619020699146-SUIZAS DE POLLO,-,Enchiladas SUIZAS DE POLLO,MENU ,-,89," $16,249.00 "
21,1619020699153-CON 1 GUISO,-,Tacos CON 1 GUISO,DE NUESTRO COMAL,-,605," $21,415.00 "
22,c1qAnoYpyV3DX20hkTyM,-,Refrescos COCA COLA REGULAR,Bebidas ,-,119," $5,008.00 "
23,yCQJ7J7zTuUbi1Kwugqc,-,POZOLE GRANDE,MENU ,-,249," $41,697.00 "
24,1619020699145,-,Tortas LA OAXAQUEÑA,MENU ,-,261," $36,575.00 "
25,pTKvqqI4U29dIE1EbDPX,-,JUGO VERDE,Bebidas ,-,92," $5,980.00 "
26,qsBr39LxFbNkid7B3EC0-DE POLLO,-,Flautas DE POLLO,MENU ,-,135," $19,752.00 "
27,1619020699156-ESPECIAL,-,Huaraches ESPECIAL,DE NUESTRO COMAL,-,75," $12,224.00 "
28,1619020699148-CON HUEVO,-,Chilaquiles CON HUEVO,MENU ,-,91," $10,531.00 "
29,1619020699145-MILANESA DE POLLO,-,Tortas MILANESA DE POLLO,MENU ,-,194," $27,970.00 "
30,1619020699152-CON 1 GUISO,-,Sopes CON 1 GUISO,DE NUESTRO COMAL,-,193," $11,874.00 "
