CURRUCUCU ZIBATA. 8D2PL9LSNTMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historial de ventas del domingo 12 de julio de 2026 al lunes 13 de julio de 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fecha de exportación: 10:22 AM, miércoles 15 de julio de 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID Venta Único,ID Artículo,ID de Cliente,Cliente,Teléfono Cliente,Código (SKU),Descripción Artículo,ID Categoría,Categoría,ID Subcategoría,Subcategoría,Cantidad Artículo, Importe Artículo ,ID Venta Numérico,Referencia,Estatus,Tipo de Venta,Artículos Total, Total Venta , Pago Total Venta , Pago Efectivo Venta , Pago Tarjetas Venta , Cambio Venta , Propina Venta ,Cierre de Venta,Registró Venta,Mesa Venta,Mesero Venta,Tipo de Servicio Venta, Descuento (Cortesía) 
2026-07-12_servicioEntrega,1619020699151-MIXTA SENCILLA,,,,-,Gorditas MIXTA SENCILLA,YQIH7dRsprDKo7czQeKH,COMAL,-,-,2, $110.00 ,,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
2026-07-12_servicioEntrega,1619020699156-ESPECIAL CON CECINA O ARRACHERA O CARNITAS,,,,-,Huaraches ESPECIAL CON CECINA O ARRACHERA O CARNITAS,YQIH7dRsprDKo7czQeKH,COMAL,-,-,2, $350.00 ,,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
2026-07-12_servicioEntrega,1619020699148-ARRIEROS,,,,-,Chilaquiles ARRIEROS,PtxDlyC77M9zbHO7pdwy,MENU ,-,-,2, $360.00 ,,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
2026-07-12_servicioEntrega,1619020699151-SENCILLA,,,,-,Gorditas SENCILLA,YQIH7dRsprDKo7czQeKH,COMAL,-,-,2, $90.00 ,,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
2026-07-12_servicioEntrega,cDOu9zXVilEPeqZqBpPe-CAFE DE OLLA,,,,-,Cafe CAFE DE OLLA,p2BB5iBeK3h0r5Ka8bzm,Bebidas ,-,-,3, $135.00 ,,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
2026-07-12_servicioEntrega,n06hkidwlDUCwcu0le4m,,,,-,DESECHABLES,yqKUFZNrxtzpzD0ej8pF,EXTRAS,-,-,17, $170.00 ,,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
2026-07-12_servicioEntrega,wEYVITjkFUruJoLnpmCR,,,,-,Chilaquiles Con Pollo,YQwkpu7YrFR44cX11RcB,Populares,-,-,1, $229.00 ,,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
2026-07-12_servicioEntrega,MZTVlaha8LCfnbEdB3e0,,,,-,Enchiladas Verdes De Pollo,YQwkpu7YrFR44cX11RcB,Populares,-,-,1, $229.00 ,,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
2026-07-12_servicioEntrega,D5w7B2p7Ag4tinprLBXe,,,,-,Molletes de Bistec,LaV5omLHDLKED5eKwVi3,Molletes,-,-,2, $432.00 ,,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
2026-07-12_servicioEntrega,1619020699152-CON 1 GUISO,,,,-,Sopes CON 1 GUISO,YQIH7dRsprDKo7czQeKH,COMAL,-,-,3, $180.00 ,,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
