CURRUCUCU ZIBATA. 8D2PL9LSNTMG,,,,,,,
Ventas de Productos,,,,,,,
"Lista de Productos en las ventas de entre 8:00 AM, sábado 12 de julio de 2025 y 8:00 AM, lunes 13 de julio de 2026",,,,,,,
"Fecha de exportación: 9:32 AM, miércoles 15 de julio de 2026",,,,,,,
#,ID Alfanumérico,Código (SKU),Nombre,Categoría,Subcategoría,Cantidad, Importe 
1,7FwSjyxeaJCqHqPhIOHo,-,Paquete Currucucu,PAQUETES ,-,4316," $647,418.00 "
2,1619020699155-CON 1 GUISO,-,Quesadillas CON 1 GUISO,DEL COMAL,-,2378," $130,790.00 "
3,1619020699158,-,Agua Del Dia,Bebidas ,-,381," $15,240.00 "
4,cDOu9zXVilEPeqZqBpPe-CAFE DE OLLA,-,Cafe CAFE DE OLLA,Bebidas ,-,456," $19,480.00 "
5,1619020699159,-,Jugo de Naranja Fresco,Bebidas ,-,359," $21,540.00 "
6,1619020699146-SUIZAS DE POLLO,-,Enchiladas SUIZAS DE POLLO,MENU ,-,136," $27,100.00 "
7,9pkEXghxcivPiSOBuXQ7-Mediano,-,Consome de Pollo Mediano,MENU ,-,224," $31,230.00 "
8,1619020699148-CON POLLO,-,Chilaquiles CON POLLO,MENU ,-,282," $49,485.00 "
9,1619020699151-CON 1 GUISO,-,Gorditas CON 1 GUISO,DEL COMAL,-,983," $54,095.00 "
10,1619020699150-MILANESA DE POLLO,-,Milanesas Y Pechugas MILANESA DE POLLO,MENU ,-,253," $39,260.00 "
11,1619020699153-CON 1 GUISO,-,Tacos CON 1 GUISO,DEL COMAL,-,885," $30,975.00 "
12,1619020699145-MILANESA DE RES,-,Tortas MILANESA DE RES,MENU ,-,558," $88,850.00 "
13,1619020699145-MILANESA DE POLLO,-,Tortas MILANESA DE POLLO,MENU ,-,554," $87,515.00 "
14,9pkEXghxcivPiSOBuXQ7-Grande,-,Consome de Pollo Grande,MENU ,-,555," $93,605.00 "
15,XwKe5euf35ysnjT64JoQ,-,Jugo Verde,Bebidas ,-,67," $5,025.00 "
16,1619020699148-SUIZOS CON POLLO,-,Chilaquiles SUIZOS CON POLLO,MENU ,-,82," $16,030.00 "
